lote_id,finca_id,fecha_cosecha,peso_quintales,variedad,destino_previsto,dias_secado_patio
L001032,F0083,2026-07-05,64.0,Caturra,Japon,14
L001033,F0069,2025-04-18,185.0,Caturra,Belgica,5
L001034,F0072,2025-08-29,135.1,Caturra,Alemania,8
L001035,F0095,2025-07-24,83.6,Catimor,Paises_Bajos,15
L001036,F0022,2025-09-01,172.0,Caturra,Estados_Unidos,12
L001037,F0106,2026-04-22,100.7,Typica,Nacional,16
L001038,F0023,2025-11-20,88.2,Typica,Japon,8
L001039,F0054,2026-08-15,187.4,Catimor,Belgica,10
L001040,F0023,2026-06-22,270.0,Catimor,Nacional,13
L001041,F0104,2026-08-14,271.9,Typica,Francia,12
L001042,F0019,2025-01-05,256.9,Caturra,Francia,14
L001043,F0113,2026-05-26,200.9,Catimor,Belgica,17
L001044,F0024,2026-04-19,214.9,Caturra,Alemania,12
L001045,F0086,2025-05-13,175.7,Caturra,Belgica,13
L001046,F0108,2025-05-11,33.8,Caturra,Estados_Unidos,12
L001047,F0008,2025-10-28,99.0,Caturra,Japon,14
L001048,F0099,2026-06-28,65.7,Caturra,Paises_Bajos,12
L001049,F0104,2025-09-18,53.5,Bourbon,Alemania,20
L001050,F0070,2025-04-09,112.5,Caturra,Francia,7
L001051,F0085,2025-04-01,213.4,Catimor,Estados_Unidos,19
L001052,F0053,2025-03-30,104.4,Typica,Estados_Unidos,12
L001053,F0118,2025-08-21,93.2,Bourbon,Estados_Unidos,7
L001054,F0054,2025-10-11,216.6,Bourbon,Nacional,20
L001055,F0017,2025-09-27,97.9,Caturra,Alemania,6
L001056,F0111,2025-08-03,274.8,Caturra,Alemania,11
L001057,F0046,2025-12-19,90.7,Bourbon,Belgica,19
L001058,F0006,2025-06-25,96.0,Bourbon,Paises_Bajos,18
L001059,F0093,2025-09-09,176.0,Typica,Estados_Unidos,18
L001060,F0091,2025-09-08,289.1,Catimor,Francia,13
L001061,F0109,2025-04-12,88.0,Catimor,Francia,12
L001062,F0069,2025-07-27,224.1,Bourbon,Alemania,17
L001063,F0022,2025-04-06,63.8,Catimor,Alemania,7
L001064,F0098,2026-01-14,35.8,Catimor,Alemania,17
L001065,F0051,2026-08-07,86.1,Typica,Paises_Bajos,8
L001066,F0047,2025-06-11,95.9,Typica,Belgica,13
L001067,F0009,2025-08-08,25.0,Catimor,Japon,13
L001068,F0116,2025-08-23,195.6,Caturra,Francia,16
L001069,F0074,2025-04-24,67.6,Typica,Paises_Bajos,8
L001070,F0085,2025-04-17,74.4,Typica,Alemania,13
L001071,F0003,2025-09-04,132.2,Caturra,Paises_Bajos,19
L001072,F0078,2026-08-01,158.2,Caturra,Alemania,19
L001073,F0071,2026-08-23,160.9,Caturra,Nacional,5
L001074,F0050,2025-06-09,87.5,Caturra,Alemania,4
L001075,F0033,2026-05-05,261.2,Caturra,Paises_Bajos,18
L001076,F0003,2025-09-23,100.6,Typica,Francia,17
L001077,F0042,2025-02-27,103.1,Catimor,Estados_Unidos,17
L001078,F0019,2025-08-21,69.4,Caturra,Japon,18
L001079,F0085,2026-07-08,63.2,Catimor,Alemania,19
L001080,F0114,2026-04-08,226.8,Catimor,Alemania,16
L001081,F0094,2026-06-30,102.0,Caturra,Estados_Unidos,15
L001082,F0033,2025-05-12,176.0,Bourbon,Japon,19
L001083,F0114,2025-04-23,78.4,Caturra,Japon,17
L001084,F0083,2026-05-01,93.4,Caturra,Alemania,17
L001085,F0010,2025-09-10,222.0,Caturra,Estados_Unidos,4
L001086,F0109,2025-09-30,116.1,Geisha,Japon,15
L001087,F0089,2025-04-01,56.4,Caturra,Francia,16
L001088,F0104,2025-05-16,95.2,Typica,Alemania,10
L001089,F0012,2025-05-15,49.4,Caturra,Alemania,18
L001090,F0073,2026-05-23,76.2,Geisha,Alemania,10
L001091,F0071,2026-07-13,170.4,Typica,Alemania,8
L001092,F0044,2026-08-19,152.6,Catimor,Alemania,20
L001093,F0014,2026-07-24,189.9,Catimor,Alemania,12
L001094,F0047,2026-07-21,144.1,Typica,Estados_Unidos,6
L001095,F0034,2026-07-25,102.5,Caturra,Estados_Unidos,11
L001096,F0105,2025-06-24,161.9,Catimor,Alemania,14
L001097,F0111,2026-08-14,75.3,Caturra,Estados_Unidos,7
L001098,F0007,2025-09-20,89.7,Geisha,Paises_Bajos,13
L001099,F0053,2025-07-25,106.0,Catimor,Nacional,4
L001100,F0059,2025-09-08,195.5,Catimor,Nacional,16
L001101,F0120,2026-06-04,113.0,Typica,Francia,18
L001102,F0022,2026-06-09,105.6,Catimor,Francia,17
L001103,F0046,2025-06-03,121.8,Catimor,Alemania,20
L001104,F0020,2025-01-28,46.5,Typica,Japon,7
L001105,F0031,2025-08-08,193.0,Geisha,Francia,10
L001106,F0012,2025-04-11,128.9,Typica,Japon,19
L001107,F0050,2025-04-29,162.2,Caturra,Belgica,8
L001108,F0005,2025-05-09,59.8,Catimor,Nacional,8
L001109,F0020,2026-05-17,194.2,Catimor,Francia,13
L001110,F0026,2026-08-10,181.6,Bourbon,Estados_Unidos,20
L001111,F0075,2025-08-12,110.1,Bourbon,Nacional,9
L001112,F0084,2025-05-04,75.4,Caturra,Paises_Bajos,11
L001113,F0025,2025-03-12,109.4,Caturra,Alemania,17
L001114,F0053,2025-03-14,120.4,Typica,Francia,13
L001115,F0068,2025-07-27,65.8,Bourbon,Nacional,15
L001116,F0112,2025-05-19,148.8,Typica,Nacional,7
L001117,F0020,2026-06-20,86.3,Caturra,Estados_Unidos,4
L001118,F0110,2025-04-04,223.4,Catimor,Estados_Unidos,6
L001119,F0005,2025-07-24,148.1,Geisha,Alemania,18
L001120,F0003,2025-07-12,143.1,Catimor,Estados_Unidos,9
L001121,F0038,2026-06-01,112.5,Catimor,Nacional,7
L001122,F0064,2025-09-17,123.6,Catimor,Belgica,19
L001123,F0062,2026-05-27,105.6,Caturra,Alemania,7
L001124,F0009,2025-08-20,67.0,Catimor,Japon,13
L001125,F0004,2025-08-26,117.8,Catimor,Japon,13
L001126,F0073,2026-03-24,100.0,Typica,Japon,14
L001127,F0118,2026-05-16,145.1,Catimor,Belgica,20
L001128,F0044,2026-07-08,170.5,Catimor,Paises_Bajos,8
L001129,F0006,2025-06-24,286.2,Caturra,Francia,17
L001130,F0010,2026-04-20,136.6,Catimor,Alemania,4
L001131,F0004,2025-09-18,167.0,Caturra,Belgica,9
L001132,F0089,2026-06-17,69.7,Catimor,Paises_Bajos,10
L001133,F0005,2025-07-12,164.3,Caturra,Paises_Bajos,11
L001134,F0095,2025-04-05,209.4,Caturra,Nacional,7
L001135,F0008,2025-05-03,184.4,Catimor,Alemania,6
L001136,F0109,2025-07-12,104.4,Catimor,Nacional,15
L001137,F0017,2025-01-21,222.4,Typica,Francia,20
L001138,F0042,2025-02-04,90.8,Caturra,Alemania,15
L001139,F0022,2025-09-13,135.7,Caturra,Francia,14
L001140,F0083,2025-09-30,82.4,Caturra,Estados_Unidos,13
L001141,F0004,2025-09-04,58.9,Catimor,Francia,9
L001142,F0049,2026-04-27,155.3,Bourbon,Estados_Unidos,16
L001143,F0018,2026-05-28,113.3,Catimor,Nacional,10
L001144,F0118,2026-04-24,80.0,Caturra,Francia,12
L001145,F0028,2025-08-27,38.8,Bourbon,Nacional,5
L001146,F0073,2026-08-13,190.1,Catimor,Alemania,5
L001147,F0098,2026-02-12,167.4,Bourbon,Francia,18
L001148,F0072,2025-05-19,92.6,Caturra,Alemania,14
L001149,F0088,2026-04-07,89.8,Bourbon,Japon,15
L001150,F0116,2025-11-26,103.6,Catimor,Paises_Bajos,11
L001151,F0111,2025-06-22,103.9,Catimor,Japon,15
L001152,F0077,2026-08-07,160.7,Caturra,Estados_Unidos,10
L001153,F0038,2026-06-18,155.6,Typica,Francia,18
L001154,F0042,2026-06-14,133.4,Caturra,Alemania,10
L001155,F0086,2025-04-13,37.4,Typica,Nacional,19
L001156,F0009,2025-06-25,205.5,Geisha,Estados_Unidos,8
L001157,F0118,2026-02-16,169.0,Caturra,Japon,15
L001158,F0034,2025-03-09,243.0,Bourbon,Alemania,17
L001159,F0080,2025-04-01,95.7,Typica,Francia,10
L001160,F0022,2025-04-13,93.5,Caturra,Paises_Bajos,8
L001161,F0055,2026-05-02,232.0,Catimor,Paises_Bajos,9
L001162,F0047,2025-07-05,90.2,Geisha,Paises_Bajos,5
L001163,F0083,2026-08-17,306.8,Caturra,Francia,10
L001164,F0083,2026-05-30,143.8,Caturra,Nacional,17
L001165,F0105,2026-07-26,128.0,Geisha,Japon,11
L001166,F0070,2026-04-23,87.7,Caturra,Paises_Bajos,4
L001167,F0108,2025-06-09,37.2,Caturra,Alemania,18
L001168,F0104,2026-08-05,97.2,Bourbon,Paises_Bajos,10
L001169,F0018,2026-07-08,108.1,Typica,Paises_Bajos,11
L001170,F0060,2026-05-07,460.0,Caturra,Estados_Unidos,9
L001171,F0013,2026-04-24,142.4,Bourbon,Francia,9
L001172,F0039,2026-07-08,122.9,Typica,Belgica,19
L001173,F0010,2026-04-16,194.8,Catimor,Alemania,19
L001174,F0054,2025-04-04,117.5,Catimor,Francia,8
L001175,F0073,2025-05-22,181.2,Catimor,Nacional,6
L001176,F0090,2026-08-04,108.0,Caturra,Belgica,19
L001177,F0025,2026-05-04,134.8,Caturra,Francia,11
L001178,F0081,2026-06-01,195.8,Typica,Alemania,18
L001179,F0101,2026-06-05,70.9,Catimor,Francia,13
L001180,F0001,2025-04-28,88.1,Caturra,Paises_Bajos,15
L001181,F0021,2025-09-18,140.3,Catimor,Nacional,7
L001182,F0085,2025-08-16,180.8,Bourbon,Estados_Unidos,7
L001183,F0061,2025-05-10,142.7,Bourbon,Francia,8
L001184,F0067,2025-04-12,121.5,Catimor,Alemania,12
L001185,F0006,2026-05-08,169.3,Typica,Alemania,8
L001186,F0091,2025-07-14,86.7,Caturra,Paises_Bajos,19
L001187,F0113,2025-08-16,339.8,Typica,Nacional,13
L001188,F0075,2026-07-25,184.5,Bourbon,Nacional,17
L001189,F0101,2025-07-01,253.7,Catimor,Paises_Bajos,8
L001190,F0062,2026-04-27,126.1,Caturra,Nacional,17
L001191,F0016,2025-08-21,328.3,Catimor,Francia,8
L001192,F0077,2025-09-24,103.8,Bourbon,Alemania,18
L001193,F0105,2026-05-10,224.9,Catimor,Alemania,7
L001194,F0051,2026-06-02,248.7,Caturra,Francia,7
L001195,F0018,2025-06-02,116.5,Bourbon,Francia,16
L001196,F0073,2026-04-10,95.2,Caturra,Alemania,10
L001197,F0085,2025-08-25,182.8,Caturra,Nacional,18
L001198,F0096,2026-04-13,122.8,Catimor,Belgica,8
L001199,F0107,2025-04-12,136.1,Catimor,Paises_Bajos,9
L001200,F0050,2026-05-15,53.6,Catimor,Belgica,5
L001201,F0051,2025-04-27,142.5,Caturra,Alemania,5
L001202,F0017,2026-05-05,158.3,Typica,Paises_Bajos,8
L001203,F0066,2026-05-14,115.4,Catimor,Alemania,13
L001204,F0108,2025-04-16,63.4,Catimor,Paises_Bajos,10
L001205,F0013,2025-06-15,131.0,Catimor,Nacional,10
L001206,F0013,2026-05-04,40.5,Caturra,Estados_Unidos,8
L001207,F0012,2026-07-21,94.1,Typica,Nacional,4
L001208,F0059,2025-05-21,185.7,Geisha,Alemania,12
L001209,F0002,2026-05-14,170.7,Catimor,Belgica,7
L001210,F0045,2025-05-06,239.6,Caturra,Japon,20
L001211,F0076,2025-07-11,75.4,Caturra,Francia,14
L001212,F0055,2025-08-31,225.4,Bourbon,Francia,11
L001213,F0063,2025-12-17,94.7,Catimor,Nacional,7
L001214,F0003,2026-04-28,137.3,Caturra,Nacional,10
L001215,F0003,2025-06-16,76.9,Catimor,Nacional,10
L001216,F0018,2025-07-09,199.1,Bourbon,Paises_Bajos,17
L001217,F0050,2025-08-19,63.6,Caturra,Francia,15
L001218,F0044,2026-08-31,84.3,Bourbon,Nacional,11
L001219,F0029,2026-06-01,202.8,Typica,Alemania,15
L001220,F0039,2026-04-23,76.7,Catimor,Paises_Bajos,4
L001221,F0008,2025-08-04,102.7,Catimor,Estados_Unidos,18
L001222,F0056,2026-08-05,178.7,Typica,Francia,20
L001223,F0075,2025-04-02,209.2,Bourbon,Paises_Bajos,7
L001224,F0113,2026-07-25,214.3,Caturra,Estados_Unidos,12
L001225,F0031,2025-09-18,239.1,Caturra,Alemania,11
L001226,F0078,2025-05-25,216.2,Bourbon,Estados_Unidos,16
L001227,F0031,2026-06-22,109.5,Caturra,Alemania,17
L001228,F0078,2026-04-20,230.6,Bourbon,Nacional,17
L001229,F0075,2026-03-12,106.9,Typica,Alemania,7
L001230,F0068,2025-12-19,141.9,Bourbon,Alemania,16
L001231,F0062,2026-06-23,127.0,Typica,Belgica,20
L001232,F0104,2026-04-20,131.8,Caturra,Estados_Unidos,18
L001233,F0046,2025-06-23,157.6,Catimor,Paises_Bajos,7
L001234,F0042,2025-07-23,104.5,Caturra,Alemania,13
L001235,F0043,2026-06-18,97.5,Catimor,Japon,11
L001236,F0037,2026-07-09,266.5,Bourbon,Alemania,7
L001237,F0016,2026-06-28,98.3,Caturra,Alemania,7
L001238,F0045,2025-08-14,103.4,Caturra,Francia,4
L001239,F0010,2026-04-07,97.5,Bourbon,Nacional,15
L001240,F0109,2025-09-30,52.7,Caturra,Paises_Bajos,18
L001241,F0083,2025-08-13,330.6,Caturra,Paises_Bajos,9
L001242,F0053,2025-11-02,106.6,Bourbon,Francia,14
L001243,F0016,2025-04-15,77.3,Catimor,Japon,9
L001244,F0088,2025-08-22,105.3,Caturra,Francia,14
L001245,F0086,2026-05-01,89.8,Bourbon,Alemania,12
L001246,F0080,2025-06-06,130.7,Geisha,Paises_Bajos,6
L001247,F0071,2025-03-17,111.0,Caturra,Paises_Bajos,17
L001248,F0068,2026-04-04,126.3,Caturra,Paises_Bajos,10
L001249,F0086,2026-06-03,41.9,Caturra,Paises_Bajos,4
L001250,F0108,2026-07-06,210.0,Bourbon,Francia,18
L001251,F0103,2026-03-27,208.5,Typica,Nacional,4
L001252,F0086,2025-07-14,107.9,Bourbon,Estados_Unidos,20
L001253,F0059,2026-03-19,301.1,Catimor,Estados_Unidos,18
L001254,F0099,2025-06-25,215.1,Bourbon,Francia,16
L001255,F0042,2026-08-30,125.3,Bourbon,Paises_Bajos,4
L001256,F0039,2025-09-22,137.2,Catimor,Francia,18
L001257,F0009,2025-07-19,233.3,Bourbon,Japon,20
L001258,F0104,2025-06-06,67.6,Caturra,Estados_Unidos,15
L001259,F0062,2025-11-05,181.5,Catimor,Paises_Bajos,18
L001260,F0010,2025-04-29,69.4,Bourbon,Nacional,4
L001261,F0075,2026-04-30,102.0,Catimor,Estados_Unidos,4
L001262,F0043,2026-04-02,128.7,Bourbon,Alemania,12
L001263,F0080,2026-04-13,157.0,Caturra,Paises_Bajos,6
L001264,F0111,2026-07-28,87.3,Catimor,Francia,19
L001265,F0046,2026-08-18,130.9,Caturra,Paises_Bajos,17
L001266,F0090,2025-08-27,296.6,Caturra,Alemania,12
L001267,F0114,2025-08-09,107.0,Bourbon,Alemania,9
L001268,F0037,2025-09-26,118.6,Caturra,Alemania,5
L001269,F0024,2026-08-21,89.2,Caturra,Alemania,16
L001270,F0114,2025-05-09,240.5,Typica,Estados_Unidos,18
L001271,F0088,2025-06-02,59.3,Caturra,Estados_Unidos,7
L001272,F0090,2025-05-13,233.1,Typica,Alemania,6
L001273,F0076,2025-07-28,179.5,Caturra,Belgica,9
L001274,F0040,2025-05-13,97.7,Catimor,Alemania,8
L001275,F0064,2025-11-22,236.7,Catimor,Nacional,19
L001276,F0061,2025-07-03,98.7,Typica,Paises_Bajos,17
L001277,F0017,2025-10-17,45.9,Caturra,Belgica,20
L001278,F0086,2026-08-21,157.2,Geisha,Estados_Unidos,19
L001279,F0107,2025-07-23,160.5,Bourbon,Estados_Unidos,15
L001280,F0064,2025-07-13,184.6,Caturra,Belgica,15
L001281,F0010,2025-07-18,172.3,Caturra,Francia,16
L001282,F0005,2025-03-25,71.4,Catimor,Francia,8
L001283,F0095,2025-05-19,101.3,Bourbon,Belgica,10
L001284,F0010,2025-06-09,254.1,Catimor,Francia,14
L001285,F0101,2025-09-08,52.4,Caturra,Francia,12
L001286,F0089,2026-05-02,301.2,Caturra,Paises_Bajos,7
L001287,F0042,2025-06-12,130.6,Bourbon,Belgica,17
L001288,F0017,2026-07-26,213.4,Caturra,Paises_Bajos,20
L001289,F0012,2025-04-25,151.4,Typica,Japon,9
L001290,F0061,2025-06-22,190.7,Caturra,Alemania,6
L001291,F0055,2026-04-26,137.4,Typica,Alemania,11
L001292,F0082,2025-05-11,122.7,Caturra,Estados_Unidos,17
L001293,F0105,2025-07-30,53.4,Catimor,Nacional,7
L001294,F0037,2026-07-08,160.4,Catimor,Paises_Bajos,19
L001295,F0103,2026-05-18,142.8,Typica,Alemania,15
L001296,F0006,2025-09-22,89.3,Caturra,Francia,20
L001297,F0031,2025-04-06,253.5,Typica,Paises_Bajos,5
L001298,F0007,2025-06-21,119.7,Caturra,Francia,10
L001299,F0004,2026-01-30,335.1,Bourbon,Nacional,12
L001300,F0096,2025-11-30,137.3,Catimor,Alemania,8
L001301,F0096,2025-08-11,111.3,Caturra,Francia,7
L001302,F0087,2026-04-19,247.3,Caturra,Estados_Unidos,20
L001303,F0069,2026-08-01,112.5,Typica,Japon,15
L001304,F0104,2026-04-24,193.4,Catimor,Belgica,4
L001305,F0064,2025-04-18,252.0,Bourbon,Belgica,18
L001306,F0026,2025-10-13,252.0,Typica,Francia,20
L001307,F0009,2026-02-14,125.6,Caturra,Francia,7
L001308,F0075,2026-05-17,121.2,Bourbon,Alemania,5
L001309,F0008,2026-07-10,137.7,Geisha,Nacional,5
L001310,F0020,2026-08-04,269.8,Bourbon,Belgica,19
L001311,F0045,2025-07-23,66.8,Bourbon,Alemania,11
L001312,F0053,2025-08-29,117.6,Catimor,Estados_Unidos,11
L001313,F0106,2026-08-08,125.1,Catimor,Estados_Unidos,13
L001314,F0002,2025-05-14,142.5,Caturra,Francia,5
L001315,F0020,2026-07-26,85.2,Typica,Paises_Bajos,7
L001316,F0031,2026-08-12,134.2,Catimor,Francia,13
L001317,F0106,2025-06-26,225.5,Caturra,Belgica,15
L001318,F0093,2025-04-02,31.5,Catimor,Alemania,10
L001319,F0089,2025-08-11,131.0,Caturra,Belgica,5
L001320,F0103,2025-05-20,189.4,Caturra,Belgica,10
L001321,F0016,2026-04-23,204.9,Caturra,Nacional,7
L001322,F0006,2026-06-13,62.4,Catimor,Nacional,7
L001323,F0091,2025-10-24,36.2,Catimor,Nacional,4
L001324,F0050,2026-06-25,87.1,Geisha,Francia,4
L001325,F0098,2026-02-16,220.5,Bourbon,Paises_Bajos,18
L001326,F0034,2025-09-02,154.8,Caturra,Belgica,16
L001327,F0043,2026-06-01,160.4,Bourbon,Estados_Unidos,20
L001328,F0029,2025-06-08,73.1,Caturra,Estados_Unidos,7
L001329,F0070,2025-09-27,105.7,Typica,Belgica,7
L001330,F0007,2025-02-16,102.8,Catimor,Estados_Unidos,18
L001331,F0012,2026-05-03,95.8,Typica,Nacional,13
L001332,F0020,2025-04-09,130.5,Catimor,Alemania,18
L001333,F0087,2026-02-22,129.4,Caturra,Francia,16
L001334,F0082,2025-06-17,105.3,Catimor,Francia,18
L001335,F0003,2025-04-01,77.4,Bourbon,Alemania,17
L001336,F0109,2026-04-06,119.2,Bourbon,Nacional,6
L001337,F0040,2026-05-09,135.8,Caturra,Estados_Unidos,19
L001338,F0081,2025-07-02,162.3,Geisha,Paises_Bajos,4
L001339,F0055,2025-06-23,138.8,Caturra,Paises_Bajos,13
L001340,F0094,2025-07-13,68.7,Typica,Paises_Bajos,5
L001341,F0025,2025-07-01,221.9,Typica,Japon,19
L001342,F0086,2025-07-22,114.2,Caturra,Belgica,8
L001343,F0004,2025-08-02,162.6,Typica,Japon,4
L001344,F0001,2025-09-14,82.9,Catimor,Estados_Unidos,11
L001345,F0086,2025-06-15,84.8,Caturra,Estados_Unidos,20
L001346,F0070,2026-08-06,193.4,Bourbon,Estados_Unidos,11
L001347,F0053,2025-08-14,251.9,Caturra,Francia,14
L001348,F0110,2025-03-27,25.0,Typica,Estados_Unidos,9
L001349,F0012,2025-04-08,173.0,Typica,Alemania,15
L001350,F0083,2025-04-05,95.4,Caturra,Alemania,13
L001351,F0103,2026-07-25,124.2,Catimor,Paises_Bajos,7
L001352,F0053,2025-07-09,241.1,Caturra,Francia,16
L001353,F0060,2026-06-18,154.7,Bourbon,Alemania,13
L001354,F0120,2025-07-22,219.3,Bourbon,Paises_Bajos,10
L001355,F0040,2026-05-20,91.5,Catimor,Japon,17
L001356,F0109,2025-06-03,117.2,Typica,Paises_Bajos,13
L001357,F0111,2026-04-16,97.4,Typica,Estados_Unidos,15
L001358,F0093,2025-08-03,98.3,Bourbon,Nacional,18
L001359,F0096,2025-05-12,246.5,Caturra,Japon,15
L001360,F0095,2026-08-09,156.2,Bourbon,Francia,6
L001361,F0104,2026-02-26,114.2,Bourbon,Belgica,6
L001362,F0096,2025-08-20,209.0,Catimor,Alemania,6
L001363,F0044,2026-06-12,112.8,Caturra,Belgica,8
L001364,F0080,2025-09-08,395.6,Bourbon,Alemania,14
L001365,F0029,2025-08-15,208.1,Bourbon,Nacional,12
L001366,F0047,2026-06-25,139.6,Catimor,Alemania,16
L001367,F0112,2025-05-11,105.9,Caturra,Nacional,15
L001368,F0087,2026-05-12,95.9,Typica,Belgica,20
L001369,F0002,2026-02-18,31.5,Caturra,Francia,10
L001370,F0059,2025-08-19,73.5,Caturra,Estados_Unidos,5
L001371,F0046,2026-05-24,302.2,Caturra,Belgica,14
L001372,F0040,2026-07-25,37.0,Catimor,Nacional,11
L001373,F0080,2025-04-07,166.4,Catimor,Estados_Unidos,16
L001374,F0067,2025-09-04,61.4,Bourbon,Alemania,8
L001375,F0021,2025-07-03,151.6,Catimor,Belgica,16
L001376,F0095,2026-08-24,160.1,Catimor,Alemania,8
L001377,F0001,2025-10-19,203.8,Bourbon,Belgica,20
L001378,F0109,2025-04-26,129.8,Typica,Alemania,10
L001379,F0059,2025-07-14,166.5,Bourbon,Belgica,13
L001380,F0012,2026-08-22,45.1,Typica,Estados_Unidos,4
L001381,F0039,2025-04-04,48.0,Caturra,Francia,13
L001382,F0066,2025-05-22,150.4,Typica,Belgica,16
L001383,F0116,2025-04-24,60.5,Caturra,Nacional,19
L001384,F0005,2026-07-24,117.9,Caturra,Estados_Unidos,8
L001385,F0018,2026-04-28,116.2,Bourbon,Alemania,14
L001386,F0106,2026-04-25,155.3,Catimor,Francia,20
L001387,F0049,2025-08-22,99.9,Catimor,Nacional,6
L001388,F0110,2026-05-19,248.1,Caturra,Francia,14
L001389,F0044,2025-07-25,135.9,Bourbon,Francia,12
L001390,F0111,2025-05-11,161.4,Caturra,Paises_Bajos,16
L001391,F0056,2026-04-21,84.9,Caturra,Paises_Bajos,16
L001392,F0071,2025-04-10,154.4,Typica,Estados_Unidos,16
L001393,F0086,2025-04-16,188.7,Caturra,Francia,6
L001394,F0031,2025-06-20,131.9,Bourbon,Belgica,7
L001395,F0101,2025-08-16,310.3,Bourbon,Belgica,6
L001396,F0009,2025-05-28,98.0,Caturra,Francia,12
L001397,F0102,2025-07-11,188.9,Caturra,Paises_Bajos,7
L001398,F0047,2026-07-15,156.0,Caturra,Paises_Bajos,6
L001399,F0076,2025-08-09,114.3,Caturra,Nacional,19
L001400,F0107,2026-03-18,115.7,Catimor,Belgica,11
L001401,F0047,2025-09-07,127.5,Catimor,Japon,11
L001402,F0108,2025-07-10,163.6,Catimor,Belgica,12
L001403,F0095,2026-07-30,171.0,Bourbon,Belgica,12
L001404,F0085,2025-04-07,281.1,Bourbon,Alemania,6
L001405,F0038,2025-07-25,80.7,Bourbon,Alemania,13
L001406,F0107,2025-02-05,143.0,Caturra,Nacional,11
L001407,F0094,2025-08-14,92.1,Bourbon,Francia,8
L001408,F0024,2026-04-20,69.1,Catimor,Belgica,7
L001409,F0114,2026-07-24,136.3,Catimor,Nacional,20
L001410,F0074,2025-05-21,131.1,Caturra,Alemania,20
L001411,F0076,2026-07-24,68.4,Catimor,Alemania,7
L001412,F0027,2026-07-18,114.8,Bourbon,Francia,20
L001413,F0014,2026-05-22,133.2,Typica,Alemania,12
L001414,F0078,2026-05-13,142.1,Caturra,Alemania,14
L001415,F0019,2025-06-21,63.7,Bourbon,Alemania,16
L001416,F0044,2026-03-27,104.0,Typica,Alemania,4
L001417,F0005,2026-07-25,124.2,Geisha,Japon,16
L001418,F0059,2025-04-12,262.9,Caturra,Francia,18
L001419,F0087,2025-08-28,77.9,Bourbon,Nacional,15
L001420,F0012,2025-07-16,281.4,Caturra,Alemania,14
L001421,F0104,2025-07-30,91.5,Catimor,Estados_Unidos,19
L001422,F0067,2025-09-22,189.8,Typica,Estados_Unidos,20
L001423,F0028,2026-08-03,262.7,Caturra,Belgica,20
L001424,F0042,2025-07-01,119.2,Catimor,Francia,11
L001425,F0037,2025-07-19,110.2,Geisha,Alemania,6
L001426,F0006,2026-04-16,115.8,Catimor,Belgica,16
L001427,F0061,2025-08-21,30.0,Bourbon,Paises_Bajos,4
L001428,F0101,2026-06-01,105.8,Typica,Japon,14
L001429,F0024,2026-06-20,120.6,Typica,Francia,7
L001430,F0089,2025-09-07,305.4,Geisha,Estados_Unidos,17
L001431,F0111,2025-03-30,122.1,Typica,Nacional,18
L001432,F0037,2025-06-01,67.3,Caturra,Paises_Bajos,17
L001433,F0060,2026-04-08,126.3,Geisha,Alemania,4
L001434,F0010,2025-08-11,233.8,Bourbon,Alemania,9
L001435,F0088,2025-05-01,239.0,Bourbon,Nacional,18
L001436,F0007,2026-06-11,131.7,Geisha,Francia,11
L001437,F0088,2026-05-02,141.1,Bourbon,Nacional,17
L001438,F0021,2025-02-25,92.3,Typica,Alemania,4
L001439,F0070,2026-07-17,88.4,Catimor,Nacional,12
L001440,F0022,2026-04-17,70.0,Bourbon,Japon,19
L001441,F0020,2025-05-15,166.2,Catimor,Nacional,7
L001442,F0096,2026-08-05,176.2,Typica,Alemania,6
L001443,F0029,2026-08-05,206.6,Bourbon,Francia,12
L001444,F0021,2025-05-05,172.7,Caturra,Francia,6
L001445,F0102,2026-06-21,371.9,Typica,Nacional,15
L001446,F0018,2026-05-20,112.3,Caturra,Alemania,15
L001447,F0020,2025-04-27,78.6,Catimor,Alemania,14
L001448,F0091,2025-07-17,58.3,Catimor,Belgica,18
L001449,F0030,2025-09-03,188.2,Bourbon,Francia,9
L001450,F0055,2025-06-25,208.8,Caturra,Francia,14
L001451,F0114,2026-06-30,152.6,Bourbon,Nacional,11
L001452,F0042,2025-04-01,104.4,Bourbon,Alemania,4
L001453,F0045,2025-06-26,140.3,Typica,Paises_Bajos,4
L001454,F0103,2026-08-29,68.7,Typica,Alemania,7
L001455,F0066,2026-04-11,59.1,Catimor,Alemania,14
L001456,F0106,2025-03-31,114.6,Typica,Belgica,13
L001457,F0042,2025-07-10,138.5,Caturra,Japon,17
L001458,F0068,2026-06-28,89.6,Geisha,Nacional,20
L001459,F0033,2025-08-30,163.6,Caturra,Japon,6
L001460,F0054,2025-05-04,146.7,Typica,Alemania,18
L001461,F0120,2026-08-20,231.4,Catimor,Paises_Bajos,6
L001462,F0004,2026-07-16,99.5,Catimor,Alemania,14
L001463,F0116,2026-04-28,122.2,Typica,Estados_Unidos,8
L001464,F0105,2025-08-24,137.5,Bourbon,Nacional,8
L001465,F0086,2026-08-13,141.4,Bourbon,Francia,18
L001466,F0027,2025-06-24,122.2,Bourbon,Francia,9
L001467,F0103,2025-08-09,192.9,Bourbon,Francia,5
L001468,F0099,2026-08-22,42.5,Bourbon,Francia,16
L001469,F0088,2026-04-06,105.7,Bourbon,Alemania,10
